Establishing watches...
Finished establishing watches, now collecting statistics.
total  access  close_nowrite  open  create  filename
151    69      38             38    6       fsroot/aac/
147    60      40             40    7       fsroot/
147    68      37             37    5       fsroot/aac/bag/
143    65      36             36    6       fsroot/aad/
141    63      36             36    6       fsroot/aae/
137    59      36             36    6       fsroot/aag/
135    57      36             36    6       fsroot/aab/
134    64      34             34    2       fsroot/aac/baf/
132    57      35             34    6       fsroot/aaa/
132    54      36             36    6       fsroot/aaf/
122    56      31             30    5       fsroot/aaa/baa/
121    55      30             30    6       fsroot/aaa/bac/
119    56      29             29    5       fsroot/aaa/bad/
117    54      29             29    5       fsroot/aad/baf/
117    54      29             29    5       fsroot/aag/baa/
116    53      29             29    5       fsroot/aaa/bae/
116    53      29             29    5       fsroot/aad/baa/
116    53      29             29    5       fsroot/aaf/bad/
115    52      29             29    5       fsroot/aab/bab/
115    52      29             29    5       fsroot/aab/bac/
115    52      29             29    5       fsroot/aae/baa/
115    52      29             29    5       fsroot/aae/baf/
115    52      29             29    5       fsroot/aae/bag/
113    53      28             28    4       fsroot/aae/bac/
112    52      28             28    4       fsroot/aaa/baf/
112    52      28             28    4       fsroot/aad/bac/
112    52      28             28    4       fsroot/aaf/baa/
111    51      28             28    4       fsroot/aaa/bag/
111    51      28             28    4       fsroot/aab/bad/
111    51      28             28    4       fsroot/aab/bae/
111    51      28             28    4       fsroot/aad/bag/
111    51      28             28    4       fsroot/aae/bad/
111    51      28             28    4       fsroot/aaf/bac/
109    52      27             27    3       fsroot/aaa/bab/
108    51      27             27    3       fsroot/aae/bae/
108    51      27             27    3       fsroot/aaf/bab/
107    50      27             27    3       fsroot/aac/bac/
107    50      27             27    3       fsroot/aaf/bae/
107    50      27             27    3       fsroot/aaf/bag/
104    50      26             26    2       fsroot/aac/baa/
104    50      26             26    2       fsroot/aac/bab/
104    50      26             26    2       fsroot/aac/bad/
104    50      26             26    2       fsroot/aac/bae/
104    50      26             26    2       fsroot/aad/bab/
104    50      26             26    2       fsroot/aad/bae/
103    49      26             26    2       fsroot/aab/baa/
103    49      26             26    2       fsroot/aab/bag/
101    47      26             26    2       fsroot/aaf/baf/
100    49      25             25    1       fsroot/aag/bab/
96     48      24             24    0       fsroot/aab/baf/
96     48      24             24    0       fsroot/aae/bab/
96     48      24             24    0       fsroot/aag/bac/
96     48      24             24    0       fsroot/aag/bad/
96     48      24             24    0       fsroot/aag/bae/
96     48      24             24    0       fsroot/aag/baf/
96     48      24             24    0       fsroot/aag/bag/
93     45      24             24    0       fsroot/aad/bad/
16     8       4              4     0       fsroot/aaa/baa/cac/
16     8       4              4     0       fsroot/aac/baf/caa/
16     8       4              4     0       fsroot/aac/baf/cab/
16     8       4              4     0       fsroot/aac/baf/cac/
16     8       4              4     0       fsroot/aac/baf/cad/
16     8       4              4     0       fsroot/aac/baf/caf/
16     8       4              4     0       fsroot/aac/baf/cag/
16     8       4              4     0       fsroot/aac/bag/caa/
16     8       4              4     0       fsroot/aac/bag/cac/
16     8       4              4     0       fsroot/aac/bag/cad/
16     8       4              4     0       fsroot/aac/bag/cae/
16     8       4              4     0       fsroot/aac/bag/caf/
16     8       4              4     0       fsroot/aac/bag/cag/
12     6       3              3     0       fsroot/aaa/baa/caa/
12     6       3              3     0       fsroot/aaa/baa/cad/
12     6       3              3     0       fsroot/aaa/baa/cae/
12     6       3              3     0       fsroot/aaa/baa/caf/
12     6       3              3     0       fsroot/aaa/baa/cag/
12     6       3              3     0       fsroot/aaa/bab/caa/
12     6       3              3     0       fsroot/aaa/bab/cab/
12     6       3              3     0       fsroot/aaa/bab/cac/
12     6       3              3     0       fsroot/aaa/bab/cae/
12     6       3              3     0       fsroot/aaa/bab/caf/
